bist_time,ask_price1,ask_vol1,ask_price2,ask_vol2,ask_price3,ask_vol3,bid_price1,bid_vol1,bid_price2,bid_vol2,bid_price3,bid_vol3
1663743661014974006,19.93,9030,19.94,42499,19.95,8674,19.92,17293,19.91,7828,19.9,145504
1663743661543107406,19.93,8657,19.94,42499,19.95,8674,19.92,17293,19.91,7828,19.9,145504
1663743661543107406,19.93,8415,19.94,42499,19.95,8674,19.92,17293,19.91,7828,19.9,145504
1663743661543107406,19.93,7345,19.94,42499,19.95,8674,19.92,17293,19.91,7828,19.9,145504
1663743661543107406,19.93,5445,19.94,42499,19.95,8674,19.92,17293,19.91,7828,19.9,145504
1663743661876317024,19.93,5345,19.94,42499,19.95,8855,19.92,17293,19.91,7828,19.9,145504
1663743662178370036,19.93,5072,19.94,42499,19.95,8855,19.92,17293,19.91,7828,19.9,145504
1663743662178370036,19.93,5071,19.94,42499,19.95,8855,19.92,17293,19.91,7828,19.9,145504
1663743662178370036,19.93,4345,19.94,42499,19.95,8855,19.92,17293,19.91,7828,19.9,145504
1663743662178693526,19.93,2554,19.94,42499,19.95,8855,19.92,17293,19.91,7828,19.9,145504
1663743662469388496,19.93,2529,19.94,42499,19.95,8855,19.92,17293,19.91,7828,19.9,145504
1663743662958058039,19.93,2330,19.94,42499,19.95,8855,19.92,17293,19.91,7828,19.9,145504
1663743662988354645,19.93,2280,19.94,42499,19.95,8855,19.92,17293,19.91,7828,19.9,145504
1663743664977668113,19.93,1944,19.94,42499,19.95,8855,19.92,17293,19.91,7828,19.9,145504
1663743664977668113,19.93,1896,19.94,42499,19.95,8855,19.92,17293,19.91,7828,19.9,145504
1663743664977668113,19.93,1640,19.94,42499,19.95,8855,19.92,17293,19.91,7828,19.9,145504
1663743664977668113,19.93,1480,19.94,42499,19.95,8855,19.92,17293,19.91,7828,19.9,145504
1663743665339884582,19.93,1144,19.94,42499,19.95,8855,19.92,17293,19.91,7828,19.9,145504
1663743665558657248,19.93,1044,19.94,42499,19.95,8855,19.92,17293,19.91,7828,19.9,145504
1663743666811244766,19.94,41092,19.95,8855,19.96,17294,19.92,17293,19.91,7828,19.9,145504
1663743666811244766,19.94,33092,19.95,8855,19.96,17294,19.92,17293,19.91,7828,19.9,145504
1663743666930404141,19.94,33042,19.95,8855,19.96,17294,19.92,17293,19.91,7828,19.9,145504
1663743667568178541,19.94,32868,19.95,8855,19.96,17294,19.92,17293,19.91,7828,19.9,145504
1663743667568178541,19.94,32734,19.95,8855,19.96,17294,19.92,17293,19.91,7828,19.9,145504
1663743667568178541,19.94,31752,19.95,8855,19.96,17294,19.92,17293,19.91,7828,19.9,145504
1663743668224248158,19.94,30484,19.95,8855,19.96,17294,19.92,17293,19.91,7828,19.9,145504
1663743668441691945,19.94,30483,19.95,8855,19.96,17294,19.92,17293,19.91,7828,19.9,145504
1663743668441720450,19.94,28983,19.95,8855,19.96,17294,19.92,17293,19.91,7828,19.9,145504
1663743668454481701,19.94,28683,19.95,8855,19.96,17294,19.92,17293,19.91,7828,19.9,145504
1663743668837305285,19.94,28663,19.95,8855,19.96,17294,19.92,17293,19.91,7828,19.9,145504
1663743669067894579,19.94,28243,19.95,8855,19.96,17294,19.92,17293,19.91,7828,19.9,145504
1663743669067894579,19.94,26663,19.95,8855,19.96,17294,19.92,17293,19.91,7828,19.9,145504
